	chr	start	stop	num_variants
0	chr12	61107	1080331	6201.0
1	chr12	1080331	2544786	8820.0
2	chr12	2544786	3677037	6494.0
3	chr12	3677037	4417679	4093.0
4	chr12	4417679	5321472	4786.0
5	chr12	5321472	6419753	6267.0
6	chr12	6419753	8377536	11023.0
7	chr12	8377536	9031395	4258.0
8	chr12	9031395	10481534	8546.0
9	chr12	10481534	11754846	8270.0
10	chr12	11754846	12733528	5594.0
11	chr12	12733528	15241484	14202.0
12	chr12	15241484	16310460	4263.0
13	chr12	16310460	18087873	8940.0
14	chr12	18087873	20863943	16625.0
15	chr12	20863943	23820634	15293.0
16	chr12	23820634	25371083	8877.0
17	chr12	25371083	27799773	13888.0
18	chr12	27799773	29651255	10234.0
19	chr12	29651255	30512406	6404.0
20	chr12	30512406	32165592	10857.0
21	chr12	32165592	33076989	6116.0
22	chr12	33076989	37856717	12377.0
23	chr12	37856717	39227169	10397.0
24	chr12	39227169	40816185	8155.0
25	chr12	40816185	41658586	5276.0
26	chr12	41658586	43984474	12983.0
27	chr12	43984474	46024229	9721.0
28	chr12	46024229	47714793	8088.0
29	chr12	47714793	49001866	7608.0
30	chr12	49001866	51776494	11422.0
31	chr12	51776494	53039004	6855.0
32	chr12	53039004	54778823	7992.0
33	chr12	54778823	55665837	4935.0
34	chr12	55665837	57548860	8377.0
35	chr12	57548860	59308666	8004.0
36	chr12	59308666	61123729	9452.0
37	chr12	61123729	64032461	16773.0
38	chr12	64032461	65559695	6822.0
39	chr12	65559695	67181144	7487.0
40	chr12	67181144	67909729	3872.0
41	chr12	67909729	69826542	10355.0
42	chr12	69826542	70957987	6381.0
43	chr12	70957987	72645075	8534.0
44	chr12	72645075	73818454	5765.0
45	chr12	73818454	76511314	13235.0
46	chr12	76511314	78570570	11113.0
47	chr12	78570570	80448150	8063.0
48	chr12	80448150	81467767	5120.0
49	chr12	81467767	83502666	9918.0
50	chr12	83502666	84303844	4959.0
51	chr12	84303844	85990426	7525.0
52	chr12	85990426	89682122	17346.0
53	chr12	89682122	92066155	11021.0
54	chr12	92066155	94514567	12763.0
55	chr12	94514567	96020785	9250.0
56	chr12	96020785	97108839	6540.0
57	chr12	97108839	99305987	11508.0
58	chr12	99305987	101447641	9901.0
59	chr12	101447641	101862690	2294.0
60	chr12	101862690	102964986	5769.0
61	chr12	102964986	104848696	10570.0
62	chr12	104848696	106436213	8658.0
63	chr12	106436213	106958748	2526.0
64	chr12	106958748	109025901	10707.0
65	chr12	109025901	110336719	6683.0
66	chr12	110336719	113263518	10865.0
67	chr12	113263518	113986709	3816.0
68	chr12	113986709	115036602	6828.0
69	chr12	115036602	115503216	2926.0
70	chr12	115503216	117087471	8897.0
71	chr12	117087471	118135375	5611.0
72	chr12	118135375	119754110	9309.0
73	chr12	119754110	122007651	11470.0
74	chr12	122007651	124977980	14786.0
75	chr12	124977980	126445505	9425.0
76	chr12	126445505	127875098	9329.0
77	chr12	127875098	129237297	9132.0
78	chr12	129237297	130377921	8103.0
79	chr12	130377921	131786751	10584.0
80	chr12	131786751	132807034	6384.0
81	chr12	132807034	133841511	6274.0
