	chr	start	stop	num_variants
0	chr11	70855	1213590	7079.0
1	chr11	1213590	3665481	17099.0
2	chr11	3665481	4746709	8037.0
3	chr11	4746709	6322869	12393.0
4	chr11	6322869	7436701	6284.0
5	chr11	7436701	8333274	6679.0
6	chr11	8333274	9087317	3961.0
7	chr11	9087317	10952027	10599.0
8	chr11	10952027	12564229	10578.0
9	chr11	12564229	13373124	4421.0
10	chr11	13373124	15742552	10389.0
11	chr11	15742552	17578402	8060.0
12	chr11	17578402	19569535	10520.0
13	chr11	19569535	21017138	9033.0
14	chr11	21017138	22374142	8159.0
15	chr11	22374142	24088517	10954.0
16	chr11	24088517	26045753	14977.0
17	chr11	26045753	27020461	6682.0
18	chr11	27020461	28481593	5794.0
19	chr11	28481593	30141357	7908.0
20	chr11	30141357	32276901	8731.0
21	chr11	32276901	33958739	8581.0
22	chr11	33958739	35502605	8794.0
23	chr11	35502605	37116815	8637.0
24	chr11	37116815	39382003	13331.0
25	chr11	39382003	42310003	16603.0
26	chr11	42310003	44693799	13956.0
27	chr11	44693799	47006137	10165.0
28	chr11	47006137	49866050	15217.0
29	chr11	49866050	54695473	11665.0
30	chr11	54695473	55082657	2759.0
31	chr11	55082657	58457495	20355.0
32	chr11	58457495	58780549	1917.0
33	chr11	58780549	62223771	17163.0
34	chr11	62223771	63804569	7347.0
35	chr11	63804569	65898631	9049.0
36	chr11	65898631	68005825	9946.0
37	chr11	68005825	69516130	7669.0
38	chr11	69516130	70926292	7846.0
39	chr11	70926292	72286017	8559.0
40	chr11	72286017	74412351	10260.0
41	chr11	74412351	76797209	11308.0
42	chr11	76797209	78355058	7822.0
43	chr11	78355058	80722373	13262.0
44	chr11	80722373	81266712	3567.0
45	chr11	81266712	84381272	17807.0
46	chr11	84381272	86619301	12067.0
47	chr11	86619301	87430235	5745.0
48	chr11	87430235	89208936	10365.0
49	chr11	89208936	90966490	8179.0
50	chr11	90966490	92077144	6424.0
51	chr11	92077144	93276157	5669.0
52	chr11	93276157	94242260	5401.0
53	chr11	94242260	95726041	7585.0
54	chr11	95726041	97057058	7011.0
55	chr11	97057058	98705065	10722.0
56	chr11	98705065	100417169	11860.0
57	chr11	100417169	101331121	5540.0
58	chr11	101331121	103959636	15546.0
59	chr11	103959636	104873284	4435.0
60	chr11	104873284	106520894	7739.0
61	chr11	106520894	107844200	7677.0
62	chr11	107844200	108437037	2292.0
63	chr11	108437037	109866116	6419.0
64	chr11	109866116	111114397	6215.0
65	chr11	111114397	112459488	5757.0
66	chr11	112459488	114257728	9169.0
67	chr11	114257728	114830666	2947.0
68	chr11	114830666	116383348	8117.0
69	chr11	116383348	117747110	8126.0
70	chr11	117747110	119215476	7565.0
71	chr11	119215476	120766806	8198.0
72	chr11	120766806	121175943	2029.0
73	chr11	121175943	122591910	6641.0
74	chr11	122591910	123500117	5501.0
75	chr11	123500117	124495528	6246.0
76	chr11	124495528	126311320	9816.0
77	chr11	126311320	127316679	5833.0
78	chr11	127316679	128188537	4847.0
79	chr11	128188537	130342575	11446.0
80	chr11	130342575	131074612	4595.0
81	chr11	131074612	133000046	11317.0
82	chr11	133000046	134205993	6669.0
83	chr11	134205993	134946452	5829.0
