	chr	start	stop	num_variants
0	chr17	56	1172399	8964.0
1	chr17	1172399	1928731	5477.0
2	chr17	1928731	3702312	11108.0
3	chr17	3702312	4696261	6420.0
4	chr17	4696261	5741334	6677.0
5	chr17	5741334	7317398	10213.0
6	chr17	7317398	8306425	5581.0
7	chr17	8306425	9965921	9742.0
8	chr17	9965921	11102815	6561.0
9	chr17	11102815	12534769	8085.0
10	chr17	12534769	13180372	4370.0
11	chr17	13180372	13894637	4992.0
12	chr17	13894637	15019097	8009.0
13	chr17	15019097	16412342	7114.0
14	chr17	16412342	18856320	11664.0
15	chr17	18856320	21290357	9723.0
16	chr17	21290357	27334244	13946.0
17	chr17	27334244	29786491	10112.0
18	chr17	29786491	31538425	9045.0
19	chr17	31538425	32912798	8048.0
20	chr17	32912798	34469036	8044.0
21	chr17	34469036	36809344	9504.0
22	chr17	36809344	38877404	9660.0
23	chr17	38877404	39899810	6383.0
24	chr17	39899810	41772087	7967.0
25	chr17	41772087	43056905	5743.0
26	chr17	43056905	45876022	13614.0
27	chr17	45876022	47517400	7807.0
28	chr17	47517400	49898957	11884.0
29	chr17	49898957	50719055	4212.0
30	chr17	50719055	51826118	6079.0
31	chr17	51826118	53599432	9084.0
32	chr17	53599432	55357541	8932.0
33	chr17	55357541	57487512	9295.0
34	chr17	57487512	59312755	6553.0
35	chr17	59312755	61545589	9586.0
36	chr17	61545589	63148128	6545.0
37	chr17	63148128	64800430	10101.0
38	chr17	64800430	67858770	15249.0
39	chr17	67858770	69387817	7962.0
40	chr17	69387817	72672203	20055.0
41	chr17	72672203	74375560	8946.0
42	chr17	74375560	76263413	12695.0
43	chr17	76263413	77298636	7929.0
44	chr17	77298636	78837588	9540.0
45	chr17	78837588	80034408	8468.0
46	chr17	80034408	81194908	7925.0
