	chr	start	stop	num_variants
0	chr8	10422	1044217	7684.0
1	chr8	1044217	1163245	1501.0
2	chr8	1163245	2042942	8336.0
3	chr8	2042942	2573279	6067.0
4	chr8	2573279	3392926	9543.0
5	chr8	3392926	3783017	6401.0
6	chr8	3783017	4480476	9430.0
7	chr8	4480476	5146927	7490.0
8	chr8	5146927	6142797	11920.0
9	chr8	6142797	7153079	9580.0
10	chr8	7153079	9154694	10680.0
11	chr8	9154694	9640787	3544.0
12	chr8	9640787	10463197	6328.0
13	chr8	10463197	11278998	5752.0
14	chr8	11278998	13491775	15972.0
15	chr8	13491775	13944992	5404.0
16	chr8	13944992	15991660	18531.0
17	chr8	15991660	17387876	10615.0
18	chr8	17387876	17836399	4472.0
19	chr8	17836399	19492840	13212.0
20	chr8	19492840	20060856	3688.0
21	chr8	20060856	21661737	10283.0
22	chr8	21661737	22897057	6677.0
23	chr8	22897057	24674718	10338.0
24	chr8	24674718	25483454	4501.0
25	chr8	25483454	26682525	7505.0
26	chr8	26682525	28162392	8844.0
27	chr8	28162392	29327896	5319.0
28	chr8	29327896	31133729	9279.0
29	chr8	31133729	31548360	2338.0
30	chr8	31548360	32977218	7242.0
31	chr8	32977218	35317232	11811.0
32	chr8	35317232	37379389	8163.0
33	chr8	37379389	38938806	6155.0
34	chr8	38938806	40703337	10018.0
35	chr8	40703337	41721454	6172.0
36	chr8	41721454	42773823	4742.0
37	chr8	42773823	46841315	5849.0
38	chr8	46841315	50082470	13996.0
39	chr8	50082470	53302930	17858.0
40	chr8	53302930	54418044	6359.0
41	chr8	54418044	55945581	7593.0
42	chr8	55945581	56956383	5637.0
43	chr8	56956383	59068651	11999.0
44	chr8	59068651	59728100	3821.0
45	chr8	59728100	62329099	13392.0
46	chr8	62329099	63349306	5498.0
47	chr8	63349306	65232872	9209.0
48	chr8	65232872	66489090	5672.0
49	chr8	66489090	69863057	16151.0
50	chr8	69863057	70867979	5241.0
51	chr8	70867979	72289454	6403.0
52	chr8	72289454	73817199	8491.0
53	chr8	73817199	75445064	8343.0
54	chr8	75445064	76456542	5609.0
55	chr8	76456542	79132861	13927.0
56	chr8	79132861	81956395	13661.0
57	chr8	81956395	82693739	3539.0
58	chr8	82693739	84225589	8433.0
59	chr8	84225589	85955619	9146.0
60	chr8	85955619	87411709	5007.0
61	chr8	87411709	89085481	8572.0
62	chr8	89085481	90638162	8512.0
63	chr8	90638162	93554386	12355.0
64	chr8	93554386	95005527	6229.0
65	chr8	95005527	96534806	8684.0
66	chr8	96534806	99401581	14193.0
67	chr8	99401581	101620958	8188.0
68	chr8	101620958	104123306	14104.0
69	chr8	104123306	104988752	4677.0
70	chr8	104988752	107410754	12173.0
71	chr8	107410754	108648177	6679.0
72	chr8	108648177	109248173	3295.0
73	chr8	109248173	110484314	6195.0
74	chr8	110484314	111850847	5867.0
75	chr8	111850847	113064320	5256.0
76	chr8	113064320	116096495	15818.0
77	chr8	116096495	119685457	15822.0
78	chr8	119685457	121201700	8223.0
79	chr8	121201700	124861459	17981.0
80	chr8	124861459	125683719	4609.0
81	chr8	125683719	126410917	3989.0
82	chr8	126410917	128659111	12872.0
83	chr8	128659111	130381139	9256.0
84	chr8	130381139	131639625	7023.0
85	chr8	131639625	133351144	10507.0
86	chr8	133351144	134570001	6987.0
87	chr8	134570001	136035605	9204.0
88	chr8	136035605	137524151	8507.0
89	chr8	137524151	139254830	10408.0
90	chr8	139254830	140725643	9344.0
91	chr8	140725643	143044914	12586.0
92	chr8	143044914	144236881	8378.0
93	chr8	144236881	146303867	10194.0
