	chr	start	stop	num_variants
0	chr10	60523	751339	4221.0
1	chr10	751339	1523544	5520.0
2	chr10	1523544	2254500	5641.0
3	chr10	2254500	3352699	9094.0
4	chr10	3352699	4572274	7717.0
5	chr10	4572274	5983762	10709.0
6	chr10	5983762	7171484	8758.0
7	chr10	7171484	8774665	10847.0
8	chr10	8774665	10249396	8226.0
9	chr10	10249396	12586797	14479.0
10	chr10	12586797	13321600	5075.0
11	chr10	13321600	15026068	11240.0
12	chr10	15026068	16551767	9402.0
13	chr10	16551767	18537267	11252.0
14	chr10	18537267	19716878	8251.0
15	chr10	19716878	22772283	16238.0
16	chr10	22772283	23175132	2193.0
17	chr10	23175132	25578596	12021.0
18	chr10	25578596	26888684	8907.0
19	chr10	26888684	29323236	15338.0
20	chr10	29323236	29783692	3155.0
21	chr10	29783692	30458838	4640.0
22	chr10	30458838	31907519	7445.0
23	chr10	31907519	33707968	10416.0
24	chr10	33707968	35109355	7207.0
25	chr10	35109355	36572508	7276.0
26	chr10	36572508	37790029	6664.0
27	chr10	37790029	42372579	11505.0
28	chr10	42372579	43894771	12000.0
29	chr10	43894771	44730075	5933.0
30	chr10	44730075	48760450	14832.0
31	chr10	48760450	50840915	8400.0
32	chr10	50840915	53616629	11883.0
33	chr10	53616629	55103572	8834.0
34	chr10	55103572	57031140	12873.0
35	chr10	57031140	57662146	2972.0
36	chr10	57662146	58959528	8789.0
37	chr10	58959528	60289987	8345.0
38	chr10	60289987	61891409	7923.0
39	chr10	61891409	62659679	4293.0
40	chr10	62659679	63341695	3444.0
41	chr10	63341695	65794114	13163.0
42	chr10	65794114	67549615	9654.0
43	chr10	67549615	69900148	14124.0
44	chr10	69900148	70195991	1823.0
45	chr10	70195991	72220850	12221.0
46	chr10	72220850	73508512	8416.0
47	chr10	73508512	75422550	8641.0
48	chr10	75422550	78706814	13627.0
49	chr10	78706814	80876749	11607.0
50	chr10	80876749	82414679	10257.0
51	chr10	82414679	84383745	10979.0
52	chr10	84383745	85458703	6387.0
53	chr10	85458703	87937577	14110.0
54	chr10	87937577	89127064	6128.0
55	chr10	89127064	91013381	9385.0
56	chr10	91013381	92006581	5946.0
57	chr10	92006581	93335047	6857.0
58	chr10	93335047	95396368	10560.0
59	chr10	95396368	96221243	3962.0
60	chr10	96221243	97822357	9028.0
61	chr10	97822357	100241302	12437.0
62	chr10	100241302	100668400	2407.0
63	chr10	100668400	102949239	10989.0
64	chr10	102949239	104380410	5202.0
65	chr10	104380410	106695048	10651.0
66	chr10	106695048	108726686	11438.0
67	chr10	108726686	110317705	9843.0
68	chr10	110317705	112561493	12120.0
69	chr10	112561493	115328432	14251.0
70	chr10	115328432	116421406	5626.0
71	chr10	116421406	119523934	15058.0
72	chr10	119523934	120591353	5639.0
73	chr10	120591353	122407323	9771.0
74	chr10	122407323	123231465	5195.0
75	chr10	123231465	123900545	4373.0
76	chr10	123900545	125869346	11756.0
77	chr10	125869346	128001098	12158.0
78	chr10	128001098	129154362	5896.0
79	chr10	129154362	130844284	11746.0
80	chr10	130844284	131741327	5662.0
81	chr10	131741327	132580245	5655.0
82	chr10	132580245	134336329	13571.0
83	chr10	134336329	134494673	849.0
84	chr10	134494673	135523865	7816.0
