	chr	start	stop	num_variants
0	chr20	60479	697600	4034.0
1	chr20	697600	2469501	10401.0
2	chr20	2469501	3828413	7792.0
3	chr20	3828413	5477850	10550.0
4	chr20	5477850	7084073	9415.0
5	chr20	7084073	8117011	5906.0
6	chr20	8117011	9730921	8094.0
7	chr20	9730921	11249536	8262.0
8	chr20	11249536	12447499	6616.0
9	chr20	12447499	13689864	7462.0
10	chr20	13689864	15958359	12072.0
11	chr20	15958359	17487232	9657.0
12	chr20	17487232	18972203	8987.0
13	chr20	18972203	20959710	9682.0
14	chr20	20959710	22491456	6331.0
15	chr20	22491456	23293790	4431.0
16	chr20	23293790	24717724	9422.0
17	chr20	24717724	25344231	3727.0
18	chr20	25344231	31614823	14307.0
19	chr20	31614823	32813441	4697.0
20	chr20	32813441	34960446	8006.0
21	chr20	34960446	36909530	7818.0
22	chr20	36909530	38436761	7097.0
23	chr20	38436761	39610856	5687.0
24	chr20	39610856	40585689	4399.0
25	chr20	40585689	41615460	5622.0
26	chr20	41615460	42680176	5646.0
27	chr20	42680176	44839056	11414.0
28	chr20	44839056	47199980	12941.0
29	chr20	47199980	49239658	11060.0
30	chr20	49239658	52472549	18157.0
31	chr20	52472549	54055266	9680.0
32	chr20	54055266	56447959	15174.0
33	chr20	56447959	58406572	10776.0
34	chr20	58406572	59561724	6588.0
35	chr20	59561724	61301855	12328.0
36	chr20	61301855	62190180	6617.0
37	chr20	62190180	62965163	4643.0
