	chr	start	stop	num_variants
0	chr13	19020013	20686720	12428.0
1	chr13	20686720	22242174	9933.0
2	chr13	22242174	23594702	9139.0
3	chr13	23594702	24531937	6922.0
4	chr13	24531937	25784362	9073.0
5	chr13	25784362	27284362	9013.0
6	chr13	27284362	29257551	11878.0
7	chr13	29257551	30483267	7021.0
8	chr13	30483267	32301815	10299.0
9	chr13	32301815	33776903	7300.0
10	chr13	33776903	35026464	6639.0
11	chr13	35026464	36046367	4618.0
12	chr13	36046367	37498185	7854.0
13	chr13	37498185	38878163	8157.0
14	chr13	38878163	41069263	11943.0
15	chr13	41069263	43101027	10451.0
16	chr13	43101027	44901409	9331.0
17	chr13	44901409	46495214	7279.0
18	chr13	46495214	47431079	4881.0
19	chr13	47431079	49383962	11179.0
20	chr13	49383962	51591091	10664.0
21	chr13	51591091	53339622	8027.0
22	chr13	53339622	54682864	6762.0
23	chr13	54682864	55817131	6117.0
24	chr13	55817131	57554217	7586.0
25	chr13	57554217	58410626	3637.0
26	chr13	58410626	59302271	4530.0
27	chr13	59302271	60854778	8067.0
28	chr13	60854778	61591949	4473.0
29	chr13	61591949	63971559	14799.0
30	chr13	63971559	65200602	7783.0
31	chr13	65200602	67844453	12448.0
32	chr13	67844453	70724516	16998.0
33	chr13	70724516	71526791	4828.0
34	chr13	71526791	73934089	13482.0
35	chr13	73934089	75670143	9593.0
36	chr13	75670143	77410555	9576.0
37	chr13	77410555	78808813	7188.0
38	chr13	78808813	80585676	8986.0
39	chr13	80585676	82581814	10915.0
40	chr13	82581814	84133144	8077.0
41	chr13	84133144	85610916	8173.0
42	chr13	85610916	88559882	15809.0
43	chr13	88559882	90521311	11163.0
44	chr13	90521311	93129691	14093.0
45	chr13	93129691	93586455	2215.0
46	chr13	93586455	96087558	14569.0
47	chr13	96087558	97519210	6255.0
48	chr13	97519210	98938919	7220.0
49	chr13	98938919	100574095	9963.0
50	chr13	100574095	102300523	9249.0
51	chr13	102300523	104066710	9681.0
52	chr13	104066710	104844114	4931.0
53	chr13	104844114	106247554	8858.0
54	chr13	106247554	106750000	3371.0
55	chr13	106750000	108189877	7663.0
56	chr13	108189877	109121210	5808.0
57	chr13	109121210	109815112	4667.0
58	chr13	109815112	111232073	9748.0
59	chr13	111232073	112247592	6562.0
60	chr13	112247592	113572488	8013.0
61	chr13	113572488	115109853	8849.0
